Context,Context_Lemma
мало я тебе говорил?  ,"мало я ты
"
мало тебя учили? ,"мало ты
"
я тебя предупредил,"я ты предупреждать
"
подозвать,"подзывать
"
цветы на солнце высохли,"цветок на солнце высыхать
"
сто раз говорил я тебе,"сто раз говорить я ты
"
меня попросили быть бригадиром (букв. меня попросили делать бригадирство),"я попросить быть бригадир я попросить делать
"
на солнце камни раскалились,"на солнце камень раскаляться
"
и я бы пошел; если бы мне сказали,"и я бы если бы я сказать
"
посадить на голову (букв. посадить на шею),"посадить на голова посадить на
"
он не разговаривает со мной,"он не разговаривать со я
"
он в обиде на меня (букв. он со мной не го-ворит) ,"он в обида на я он со я не
"
а) надо было с самого начала предупредить меня б) сначала надо было известить меня,"надо быть с сам начинать предупреждать я сначала надо быть извещать я
"
так же я тебе говорил,"так же я ты говорить
"
телята собрались в тени,"теленок собираться в тень
"
меня не спросили,"я не спрашивать
"
мне не сказали,"я не сказать
"
целый день ждала  я тебя,"целый день ждать я ты
"
дрова в огне потрескивают,"дрова в огонь потрескивать
"
сидеть на солнце,"сидеть на солнце
"
я тебе что-то скажу,"я ты сказать
"
бесполезно с тобой говорить,"бесполезно с ты говорить
"
ни одного приличного слова не сказал,"ни один приличный слово не сказать
"
это зависит от тебя,"это зависеть от ты
"
я не завишу от тебя,"я не зависеть от ты
"
теперь посмотрим на тебя ,"теперь посмотреть на ты
"
ну; погоди! (букв. посмотрим на тебя),"посмотреть на
"
всю ночь лаяли собаки,"весь ночь лаять собака
"
мне надо тебе что-то рассказать,"я надо ты рассказывать
"
а) положить в огонь (напр. дрова) б) поста-вить на огонь (для варки); ,"полагать в огонь на огонь
"
в знач. нареч. на огонь; у огня ,"в на у огонь
"
в знач. нареч. в огонь; в костер,"в в в костер
"
бронзовый тазик блестит на солнце,"бронзовый тазик блестеть на солнце
"
много чего есть тебе рассказать,"много что есть ты рассказывать
"
когда наступит время; ты мне свистни,"когда наступать ты я свистнуть
"
почему-то она со мной не разговаривает,"она со я не разговаривать
"
зачем ты мне это говоришь? ,"зачем ты я это
"
садовые участки,"садовый участок
"
песчаное место; сады,"песчаный сад
"
квартал села,"квартал садиться
"
Тлох (соседнее село),"тлох
"
Ночью выпал снег,"ночь выпадать снег
"
на меня,"на я
"
на тебя,"на ты
"
Не рассказывай маме; мол; сказали мне,"не рассказывать сказать я
"
Одну вещь расскажу я тебе,"один вещь рассказывать я ты
"
у них дома всегда беспорядок,"у они дома всегда беспорядок
"
у них дома всегда беспорядок,"у они дома всегда беспорядок
"
оставить мальчика дома,"оставлять мальчик дом
"
вот же она дома!,"вот же она
"
в этот день меня не было дома,"в этот день я не быть дома
"
встретиться дома,"встречаться дома
"
установить (или застолбить) на границе межевой камень,"устанавливать на граница межевой камень
"
мы будем дома,"мы быть дома
"
сами останемся дома,"сам оставаться дома
"
когда ни придешь; вас дома не застанешь,"когда ни вы дома не заставать
"
никак не могу застать его дома,"никак не мочь заставать он дом
"
всё есть в доме (дома) (букв. нет ничего недостающего в доме),"все быть в дом нет ничто недостающий в
"
оставаться дома,"оставаться дома
"
оставить дома,"оставлять дома
"
нашел дома,"находить дома
"
ни детей; ни матери нет дома,"ни ни мать нет дома
"
оружие нашли дома,"оружие находить дом
"
если пойдет дождь; оставайся дома,"если пойти оставаться дома
"
курица; несущаяся для других (о женщине; не думающей о благополучии в собственной семье),"нестись для другой не думать о благополучие в собственный
"
ты оставайся дома,"ты оставаться дома
"
застать дома,"заставать дома
"
наверное; он дома,"он дома
"
сделать дома запас картошки,"сделать дома запас картошка
"
дома он – властелин,"дома он властелин
"
перен. непоседа (букв. хоть цепью привяжи; все равно дома не усидит),"непоседа хоть цепь все равный дома не
"
в доме никого (нет) (букв. в доме ни одной души),"в дом никто в дом ни один
"
дома не осталось ничего стоящего,"дома не оставаться ничто стоящий
"
ты не провел дома ни одного дня?,"ты не проводить дом ни один
"
сколько ни приходил; тебя дома не застал,"сколько ни ты дома не заставать
"
на сегодня оставьте меня дома,"на сегодня оставлять я дома
"
сады (дальние),"сад
"
место на солнечной стороне,"место на солнечный сторона
"
Дети сами остались дома,"ребенок сам оставаться дом
"
Дома никого нет.,"дома никто
"
Когда приехал гость; меня не было дома,"когда приезжать я не быть дома
"
Не осталась дома; пока приготовила обед,"не оставаться пока приготавливать обед
"
в Ботлихе расквартирована одна бригада Российской армии,"в ботлих расквартировывать один бригада российский армия
"
завтра мальчика оставь у нас,"завтра мальчик оставлять у мы
"
у нас развито садоводство,"у мы развивать садоводство
"
оставить вечером ребенка у бабушки,"оставлять вечер ребенок у бабушка
"
оставь книгу у меня,"оставлять книга у я
"
у них всегда бывают гости,"у они всегда бывать гость
"
мы знаем; что у тебя есть деньги (т.е. наличие денег),"мы что у ты быть деньги наличие
"
у нас земляника не растет,"у мы земляника не расти
"
несущаяся в чужом гнезде курица (о расто-чительной женщине),"нестись в чужой гнездо курица
"
я у вас впервые (в первый раз),"я у вы впервые первый
"
на такой работе должен быть инициативный человек,"на такой работа должный быть инициативный человек
"
все остались у нас,"все оставаться у мы
"
когда бы ни пришел; у вас люди ,"когда бы ни у вы человек
"
он постоянно бывает у нас,"он постоянно бывать у мы
"
оставайся на работе сколько угодно (време-ни),"оставаться на работа сколько угодно
"
задержали на работе,"задерживать на работа
"
хлеб; выпеченный в коре,"выпекать в кора
"
оставайся на работе сколько угодно,"оставаться на работа сколько угодно
"
большую часть времени я провожу у ба-бушки,"больший часть время я провожать у
"
в горах трудно вести хозяйство,"в гора трудно вести хозяйство
"
у нас проживают люди разных националь-ностей,"у мы проживать человек разный
"
а) рис у нас не растет б) рис у нас не возде-лывают ,"рис у мы не расти рис у мы не
"
наш райцентр в Ботлихе,"наш райцентр в ботлих
"
он останавливается у нас,"он останавливаться у мы
"
все остались у нас,"все оставаться у мы
"
у нас трудолюбивые люди,"у мы трудолюбивый человек
"
у него денег было вдоволь,"у он деньги быть вдоволь
"
ещё один день проведу в гостях,"еще один день проводить в гость
"
иногда бывает у нас (кто-л.),"иногда бывать у мы
"
ответственность в работе возросла,"ответственность в работа возрастать
"
сегодня (сегодняшним) вечером оставайтесь у нас,"сегодня вечер оставаться у мы
"
местность у Боржи,"местность у боржа
"
пашни (букв. пашни у зуба),"пашня пашня у
"
местность (букв. у трех волков),"местность у три
"
сады у речки; местность,"сад у местность
"
покосы; сады (букв. у жаркого места),"сад у жаркое
"
пастбище,"пастбище
"
сады (букв. у сторожевой пашни),"сад у сторожевой
"
местность у кладбища,"местность у кладбище
"
местность у кора,"местность у кора
"
местность (букв. у мельницы),"местность у
"
сады,"сад
"
Анчих (название села),"анчая
"
Ахвах (название села),"ахва
"
Алак (название села),"алак
"
у отца,"у отец
"
До темноты задержались мы у соседей,"до темнота задерживаться мы у сосед
"
она сообщила эту весть всем,"она сообщать этот весть весь
"
я его предупредил,"я он предупреждать
"
никому не говори,"никто не говорить
"
сидеть в тени,"сидеть в тень
"
сидеть в тени,"сидеть в тень
"
купить за деньги ,"купить за деньги
"
а) развести огонь в очаге б) затопить печь ,"разводить огонь в очаг затапливать печь
"
по краям посадили цветы,"по край посадить цветок
"
сын желает быть похожим на отца,"сын желать быть похожий на отец
"
танцевать; уподобляясь ей,"уподобляться она
"
стать похожим на отца,"становиться похожий на отец
"
ты не уподобляйся ей,"ты не уподобляться она
"
подобно этому,"подобно это
"
спасибо за помощь ,"спасибо за помощь
"
поговори с ним отдельно,"поговорить с он отдельно
"
в знач. нареч. в горах; см. бēле,"в в бēле
"
в знач. нареч. в горы,"в в гора
"
сообщить отцу,"сообщать отец
"
озяб на ветру,"озябнуть на ветер
"
крапива обожгла руки,"крапива обжигать рука
"
у внутреннего края пашни,"у внутренний край пашня
"
у основания стены,"у основание стена
"
стать у края (чего-л.),"становиться у край
"
стоять в углу,"стоять в угол
"
я не люблю сидеть в углу с краю ,"я не любить сидеть в угол с край
"
заплатить за билет,"заплатить за билет
"
а) раньше взамен фруктов получали кар-тошку б) раньше фрукты меняли на кар-тошку,"рано взамен фрукт получать рано фрукт менять на
"
обменять фрукты на картошку,"обменять фрукт на картошка
"
а) пустить по ветру б) промотать;,"пускать по ветер
"
в горах (на селе) виноград поздно созревает (букв. рано не созревает),"в гора виноград поздно созревать рано не
"
на лугу выросли цветы,"на луг вырастать цветок
"
я не решусь сказать ему в глаза (//лицо),"я не решаться сказать он в глаз
"
за бензин дали деньги,"за бензин давать деньги
"
погов. ругать дочь; чтобы поняла невестка,"ругать чтобы понимать невестка
"
работать впотьмах ,"работать впотьмах
"
неудачный выбор; сделка (букв. впотьмах сделанное),"неудачный сделка впотьмах
"
в темноте,"в темнота
"
висящая на гвозде одежда,"висеть на гвоздь одежда
"
смазать руки вазелином,"смазывать рука вазелин
"
ай-ай-ай; как ты его сильно отругал!,"как ты он сильно
"
ай-ай-ай; как ты его сильно отругала!,"как ты он сильно
"
лежать на полу,"лежать на пол
"
лежать весь день,"лежать весь день
"
говорить с дедушкой,"говорить с дедушка
"
шагу ступить не может; не спросив жену,"шаг ступать не не спрашивать жена
"
на столбах натянуть провода,"на столб натягивать провод
"
деревья зацвели; на деревьях распустились цветы,"дерево на дерево распускаться цветок
"
разломаться надвое,"разламываться надвое
"
платье касается пола,"платье касаться пол
"
стоять сбоку/держаться рядом,"стоять рядом
"
лечь сбоку ,"ложиться сбоку
"
нести на плечах,"нести на плечо
"
собака рычит на чужих людей,"собака рычать на чужой человек
"
за рубль червонец и я не разменяю (в знач. не такой уж я дурак),"за рубль червонец и я не разменивать не такой уж я
"
я только что разговаривал с ним,"я только что разговаривать с он
"
не обращай внимания на погоду,"не обращать внимание на погода
"
в бригадах по семь человек,"в бригада по семь человек
"
а) осмотреть дом б) присматривать за до-мом,"осматривать дом присматривать за
"
в ушах шум,"в ухо шум
"
дать оплеуху,"давать оплеуха
"
ухо режет (букв. в ухе дерется),"ухо резать в ухо
"
послушать песню,"послушать песня
"
послушать рассказ,"послушать рассказ
"
послушай; о чем он говорит,"о что он говорить
"
сын должен слушаться отца,"сын должный слушаться отец
"
бросить наземь,"бросать наземь
"
выронить,"выронить
"
рассыпаться,"рассыпаться
"
выплеснуть; вылить на пол,"выливать на пол
"
разлиться наземь (или на пол),"разливаться наземь на
"
а) спустить на пол (с рук); опустить на пол (о ребенке) 2. нареч. внизу (в знач. на земле; на полу);,"спускать на пол опускать на пол внизу на на
"
стелить на полу,"стелить на пол
"
(лечь) лежать на полу,"лежать на пол
"
упасть;,
работать до упаду,"работать до упад
"
опустить на землю,"опускать на земля
"
рассказать посторонним,"рассказывать посторонний
"
просить у чужих,"просить у чужой
"
повесил слишком высоко,"повесить слишком высоко
"
спроси у каждого,"спрашивать у каждый
"
горы окутаны туманом,"гора окутывать туман
"
послушаться чего-л. совета,"послушаться совет
"
учитель пожаловался родителям,"учитель пожаловаться родитель
"
в дороге одежда пылится,"в дорога одежда пылиться
"
слушать доклад,"слушать доклад
"
размазать кашу по лицу,"размазывать каша по лицо
"
краска размазывается на стенах,"краска размазываться на стена
"
послушать зурну,"послушать зурна
"
брать деньги за работу,"брать деньги за работа
"
несмотря на позволение,"несмотря на позволение
"
а) никогда не пререкайся со старшими б) никогда не поднимай голос на старших,"никогда не пререкаться со старший никогда не подымать голос на старший
"
местн. п. III сер. от мест. гьил-гьил,"III от
"
местн. п. III сер. от мест. гьил  (употреб-ляется в косвенной речи); ,"III от гьило в косвенный
"
похожее на яблоко,"похожий на яблоко
"
обменять на яблоки,"обменять на яблоко
"
он сказал; что его не предупредили,"он что он не предупреждать
"
за миллион,"за миллион
"
не обращай внимания на чужие разговоры,"не обращать внимание на чужой разговор
"
на каникулах,"на каникулы
"
купить за копейку,"купить за копейка
"
ползать на лапах,"ползать на лапа
"
читать стихи наизусть,"читать стих наизусть
"
работать за «спасибо»,"работать за
"
ради благословения (бога) отремонтировал он родник,"ради благословение отремонтировать он родник
"
наше стойбище овец находится далеко,"наш стойбище овца находиться далеко
"
я не намерен с ним разговаривать,"я не намеривать с он разговаривать
"
не выливай ни капли,"не выливать ни капля
"
на дорогах – разбой (есть),"на дорога разбой
"
бродить по улицам ,"бродить по улица
"
на улице,"на улица
"
обменять на пшеницу,"обменять на пшеница
"
заткнуть уши ватой,"заткнуть ухо вата
"
застелить пол плитами,"застилать пол плита
"
а) смотреть на ягнят б) смотри на ягнят,"смотреть на ягненок смотреть на ягненок
"
козы пасутся на скалах,"коза пастись на скала
"
мерку яблок поменяли на две мерки кар-тошки,"мерка яблоко поменять на два мерка
"
сложить вдвое,"слагать вдвое
"
а) присмотреть за детьми ; смотреть за детьми б) проявить забо-ту о детях; ,"присматривать за ребенок смотреть за ребенок проявлять о
"
внять совету ,"внимать совет
"
рассказать другу,"рассказывать друг
"
расспрашивать соседей,"расспрашивать сосед
"
спросить мать,"спрашивать мать
"
погов. дурака не расспрашивай; сам расска-жет,"дурак не сам
"
в предвечерье подул ветер,"в предвечерие подуть ветер
"
посмотри; как они купаются (букв. посмот-ри на их купание) ,"как они купаться на их
"
заплатить за палас деньги ,"заплатить за палас деньги
"
а) смотреть на канатоходца; б) смотреть представление канатоходца,"смотреть на смотреть представление канатоходец
"
стиранная одежда (или белье) реяла на ветру,"стирать одежда реять на ветер
"
дикие слоны водятся в лесах Индии,"дикий слон водиться в лес индия
"
на руках образовались волдыри,"на рука образовываться волдырь
"
слушать радио,"слушать радио
"
выучить наизусть (букв. выучить по серд-цу),"выучивать наизусть выучивать по
"
на теневой стороне склона выросла хорошая трава,"на теневой сторона склон вырастать хороший трава
"
на бедре есть рана,"на бедро быть рана
"
зимой отары овец находятся на кутанах,"зима отара овца находиться на кутан
"
а) спустись на землю б) умерь свой пыл (гонор),"спускаться на земля умерять свой пыл
"
посмотрите на их неустроенность житья,"посмотреть на их неустроенность житие
"
в ушах гудение,"в ухо гудение
"
в знач. нареч. в тени,"в в тень
"
в знач. нареч. в тени; в прохладе,"в в в прохлада
"
на дорогах грабили разбойники,"на дорога грабить разбойник
"
его не проведешь (букв. за рубль червонец он не выменяет),"он не проводить за рубль червонец он не
"
стелить на пол ковер,"стелить на пол ковер
"
в волосах развелись гниды,"в волос разводиться гнида
"
просить бога ,"просить бог
"
попрошайничать на дорогах,"попрошайничать на дорога
"
на кутане рано начинают косить траву ,"на кутан рано начинать косить трава
"
цветы на деревьях раскрылись,"цветок на дерево раскрываться
"
в углу паутина,"в угол паутина
"
осмотреть больного,"осматривать больной
"
соответственно своему труду получишь и деньги,"соответственно свой труд получать и деньги
"
ходил навещать друга,"ходить навещать друг
"
за детьми был хороший присмотр (уход),"за ребенок быть хороший присмотр
"
я говорил с ним насчет тебя,"я говорить с он насчет ты
"
платье; присборенное у ворота,"присборивать у ворота
"
скажи ему; чтоб был осторожен,"сказать чтоб быть осторожный
"
вода из ведра выплеснулась на землю,"вода из ведро выплескиваться на земля
"
а) выплеснули б) вылили (на землю),"выплескивать выливать
"
сесть на пол ,"садиться на пол
"
поставить на пол,"поставлять на пол
"
стлать на пол доски,"стлать на пол доска
"
тесто прилипает к рукам,"тесто прилипать к рука
"
ударить по лицу,"ударять по лицо
"
держись (будь) от нее подальше,"держаться от она далеко
"
держись (будь) от нее подальше,"держаться от она далеко
"
а) держи на расстоянии б) держи подальше в) останови далеко;,"держать на расстояние держать далеко останавливать
"
мои мысли далеко (сейчас),"мой мысль далеко
"
сады; террасы (букв. у теснины),"терраса у
"
сады; пашня,"пашня
"
покосы; луга,"луг
"
местность у стогов,"местность у стог
"
пастбище,"пастбище
"
местность; сады (букв. у прудов),"сад у
"
местность (букв. у родника Куле),"местность у родник
"
пастбище,"пастбище
"
квартал села,"квартал садиться
"
сады; пашня (букв. у песков),"пашня у
"
сады; пашни (букв. у колючек),"пашня у
"
местность; пастбище,"пастбище
"
СБОКУ,"сбоку
"
«за божье благословение»,"божий
"
наверху,"наверху
"
Целый час мы ждали машину,"целый час мы ждать машина
"
на полях,"на поле
"
"алл. от ""на полях""","от
"
"эл. от ""на полях""","от
"
у отца,"у отец
"
у сестры,"у сестра
"
Не рассказывай маме; мол; сказали мне,"не рассказывать сказать я
"
есть какое-то сходство между матерью и дочерью,"быть сходство между мать и дочь
"
есть какое-то сходство между матерью и дочерью,"быть сходство между мать и дочь
"
отдали от себя (кого-л.) ,"отдавать от себя
"
нарастить одну на другую,"наращивать один на другой
"
отдал больше половины,"отдавать много половина
"
подмети вокруг себя,"подмести вокруг себя
"
она рассказала про свои житейские невзго-ды,"она рассказывать про свой житейский
"
взять на себя ответственность,"взять на себя ответственность
"
погов. гордится даже своей тенью (о челове-ке с гордыней),"гордиться даже свой тень с
"
скрыть свои намерения ,"скрывать свой намерение
"
а) нечаянно б) случайно в) неожиданно (букв. не имея в сердце (ничего),"нечаянно случайно неожиданно не иметь в сердце
"
выполни свою обязанность,"выполнять свой обязанность
"
нельзя унижать слабых,"нельзя унижать слабый
"
ты грех на себя берешь,"ты грех на себя брать
"
между болотом и нашим садом небольшое расстояние ,"между болото и наш сад небольшой расстояние
"
между болотом и нашим садом небольшое расстояние ,"между болото и наш сад небольшой расстояние
"
ты держись от неё подальше (букв. отдали её от себя),"ты держаться от она далеко отдавать она от
"
курагу посушили под навесом,"курага посушить под навес
"
подкладочный атлас,"подкладочный атлас
"
в знач. нареч. в паху,"в в пах
"
проблемы детей состарили меня,"проблема ребенок состарить я
"
усердно поднимать хозяйство,"усердно подымать хозяйство
"
название местности,"название местность
"
сено в сеновале убавилось,"сено в сеновал убавляться
"
сложить сено в сеновал,"слагать сено в сеновал
"
(наверное) в сеновале найдется,"в сеновал находиться
"
остаток,"остаток
"
в пятом классе остался на второй год ,"в пятый класс оставаться на второй год
"
отстать (букв.остаться внизу),"отставать
"
он постоянно в раздумьях,"он постоянно в раздумье
"
в саду много кузнечиков,"в сад много кузнечик
"
положить подушку под голову,"полагать подушка под голова
"
стоять у изголовья,"стоять у изголовье
"
не попадайся ему на глаза,"не попадаться он на глаз
"
девочка сидит в саду,"девочка сидеть в сад
"
посещения участились,"посещение учащаться
"
ты немного спустись пониже,"ты немного спускаться низко
"
я здесь внизу,"я здесь внизу
"
а) стелить что-л. внизу б) уложить кого-л. на лопатки;,"стелить внизу укладывать на
"
его дом (расположен) в нижней части (се-ла),"его дом в нижний часть
"
а) остаться внизу б) остаться на второй год (в одном классе; на одном курсе) ,"оставаться внизу оставаться на второй год один на один
"
а) сложить друг на друга б) класть одно на другое (букв. верх-вниз положить),"слагать друг на друг класть один на другой
"
упали друг на друга,"упасть друг на друг
"
один над другим построенные дома,"один над другой построить дом
"
родственников нужно навещать,"родственник нужно навещать
"
они вас навещают? ,"они вы
"
перен. не потерплю вольностей; вольного поведения,"не потерпеть вольный поведение
"
делать исподтишка,"делать исподтишка
"
от этих мыслей я схожу с ума,"от этот мысль я сходить с ум
"
в нашем саду живет ёж,"в наш сад жить еж
"
мать беспокоилась о тебе,"мать беспокоиться о ты
"
на потолке появилась трещина,"на потолок появляться трещина
"
у них загорелся сеновал,"у они загораться сеновал
"
складывать (друг на друга),"складывать на
"
не сидите на солнце,"не сидеть на солнце
"
высокорослый человек,"высокорослый человек
"
нижний округ,"нижний округ
"
а) положить руку на руку (быть) б) перен. сидеть сложа руки,"полагать рука на рука сидеть сложе рука
"
нижний авал,"нижний авал
"
на небе (в небе) самолет,"на небо самолет
"
а) перелицевать б) перевернуть,"перелицовывать перевертывать
"
а) перелицевать б) перевернуть,"перелицовывать перевертывать
"
держать в ладони ,"держать в ладонь
"
долго чего-л. добиваться (букв. ходить пока обувь не продырявится),"долго добиваться ходить пока обувь не
"
погов. какой бы яркой ни была; одна звезда неба не украсит ,"какой бы яркий ни один звезда небо не украшать
"
погов. счастье (букв. рай) найдешь у ног ро-дителей,"счастие находить у нога
"
в большинстве случаев я бываю в саду,"в большинство случай я бывать в сад
"
под водопадом,"под водопад
"
место; где сваливают мусор,"где сваливать мусор
"
сады в местности Гадару,"сад в местность гадар
"
покосы,"покос
"
сады,"сад
"
часть села; дворы,"часть двор
"
местность,"местность
"
покосы (букв. у диких пчел),"покос у дикий
"
сады; пашня (букв. под деревьями),"пашня под
"
сады; пашни (букв. капающее место),"пашня капать
"
сады; пашни,"пашня
"
пастбище (букв. место холодных ветров),"пастбище место холодный
"
квартал (окраина) села,"квартал садиться
"
покосы (букв. у орлов),"покос у
"
часть (квартал) села,"часть садиться
"
местность; сады (букв. у водопада),"сад у
"
пашни; сенокос; сады,"сад
"
укрытое место,"укрытый место
"
под крышей,"под крыша
"
"эл.от ""под крышей""",
"эл.от ""под крышей""",
под деревом,"под дерево
"
"эл от ""под деревом""","эл от
"
"эл от ""под деревом""","эл от
"
под деревьями,"под дерево
"
говорили о его жизнерадостности,"говорить о его жизнерадостность
"
жизнерадостный человек (букв. имеющий в сердце веселость человек),"жизнерадостный человек иметь в сердце веселость
"
в нашем квартале построили мечеть,"в наш квартал построить мечеть
"
в этом округе не было такого хорошего че-ловека,"в этот округ не быть такой хороший
"
на месте раны остался след,"на место рана оставаться след
"
перен. нанесли душевную рану,"наносить душевный рана
"
печеный в золе (в очаге) картофель,"печеный в зола картофель
"
впереди (шел) знаменосец,"впереди знаменосец
"
остаться на улице,"оставаться на улица
"
положить книгу на стол,"полагать книга на стол
"
ставить вино на стол,"ставить вино на стол
"
а) держать руки подмышками б) перен. си-деть сложа руки,"держать рука подмышка сложа рука
"
нести что-л. на плече,"нести на плечо
"
на столе,"на стол
"
занавесить окно,"занавешивать окно
"
дети игрались на площадке для молотьбы,"ребенок играться на площадка для молотьба
"
он стоит на дороге,"он стоять на дорога
"
на столе завуча,"на стол завуч
"
в магазине продается мука,"в магазин продаваться мука
"
поставь на подоконник,"поставлять на подоконник
"
ребенок временами вздрагивает,"ребенок время вздрагивать
"
работать при лунном свете,"работать при лунный свет
"
не стой на свету,"не стоять на свет
"
труд покрылся льдом,"труд покрываться лед
"
заткнуть тряпкой окошко хлева,"заткнуть тряпка окошко хлев
"
а) бесхитростный человек б) честный чело-век в) человек без коварства,"бесхитростный человек честный человек без коварство
"
увидеть во сне,"увидеть во сон
"
на столе стопка книг,"на стол стопка книга
"
сушить абрикосы на скальной поверхности,"сушить абрикос на скальный поверхность
"
ни минуты на одном месте не стоит,"ни минута на один место не стоять
"
обеспечить наличие всего необходимого в магазине,"обеспечивать наличие весь необходимый в магазин
"
будь я на твоем месте…,"быть я на твой
"
на стол положили много яств,"на стол полагать много яство
"
раньше на этом месте была мечеть,"рано на этот место быть мечеть
"
в мире много людей приняли мусульман-скую веру – ислам,"в мир много человек принимать вера ислам
"
птичка села (букв. приземлилась) на дерево ,"птичка садиться на дерево
"
ходить на пятничную молитву,"ходить на пятничный молитва
"
был на пятничной молитве,"быть на пятничный молитва
"
оставить на холоде,"оставлять на холод
"
не оставьте на холоде (что-л.),"не оставлять на холод
"
на площади собралось большое количество людей,"на площадь собираться большой количество человек
"
народ собрался на площадь,"народ собираться на площадь
"
в таком состоянии,"в такой состояние
"
а) сиди спокойно б) веди себя спокойно (букв. будь в одном положении),"сидеть спокойно вести себя спокойно быть в один
"
на нашей улице есть однотипные дома,"на наш улица быть однотипный дом
"
не клади локти на стол ,"не класть локоть на стол
"
теленок пасется на лугу,"теленок пастись на луг
"
а) в комнате потеплело б) комната обогре-лась,"в комната потеплеть комната
"
а) развести огонь в очаге б) затопить печь ,"разводить огонь в очаг затапливать печь
"
наложить на волосы головы кашицу из горьких ядер косточек абрикоса (для укреп-ления волос; для придания ей блеска; упруго-сти) (букв. наложить на голову ядра косто-чек),"налагать на волос голова кашица из горький ядро косточка абрикос для придание она налагать на голова ядро
"
